"","id","code","team_h","team_h_score","team_a","team_a_score","event","finished","minutes","provisional_start_time","kickoff_time","round","was_home","difficulty","first_name","second_name","web_name","team","element_type","photo","team_name","short_team_name","strength","team_id","opp_team_id","opp_team_name","opp_short_team_name","opp_strength","team_strength","home_team","away_team","opp_team_strength","team_strength_att","opp_team_strength_att","team_strength_def","opp_team_strength_def"
"1","1",2444823,12,NA,1,NA,36,FALSE,0,FALSE,"2025-05-11T15:30:00Z","36",FALSE,5,"Fábio","Ferreira Vieira","Fábio Vieira",1,3,"438098.jpg","Arsenal","ARS",5,1,12,"Liverpool","LIV",5,1350,"Liverpool","Arsenal",1350,1400,1320,1300,1380
"2","1",2444830,1,NA,15,NA,37,FALSE,0,FALSE,"2025-05-18T15:30:00Z","37",TRUE,4,"Fábio","Ferreira Vieira","Fábio Vieira",1,3,"438098.jpg","Arsenal","ARS",5,1,15,"Newcastle","NEW",4,1350,"Arsenal","Newcastle",1255,1390,1170,1310,1340
"3","1",2444847,17,NA,1,NA,38,FALSE,0,FALSE,"2025-05-25T15:00:00Z","38",FALSE,1,"Fábio","Ferreira Vieira","Fábio Vieira",1,3,"438098.jpg","Arsenal","ARS",5,1,17,"Southampton","SOU",2,1350,"Southampton","Arsenal",975,1400,1000,1300,990
"4","2",2444823,12,NA,1,NA,36,FALSE,0,FALSE,"2025-05-11T15:30:00Z","36",FALSE,5,"Gabriel","Fernando de Jesus","G.Jesus",1,4,"205651.jpg","Arsenal","ARS",5,1,12,"Liverpool","LIV",5,1350,"Liverpool","Arsenal",1350,1400,1320,1300,1380
"5","2",2444830,1,NA,15,NA,37,FALSE,0,FALSE,"2025-05-18T15:30:00Z","37",TRUE,4,"Gabriel","Fernando de Jesus","G.Jesus",1,4,"205651.jpg","Arsenal","ARS",5,1,15,"Newcastle","NEW",4,1350,"Arsenal","Newcastle",1255,1390,1170,1310,1340
"6","2",2444847,17,NA,1,NA,38,FALSE,0,FALSE,"2025-05-25T15:00:00Z","38",FALSE,1,"Gabriel","Fernando de Jesus","G.Jesus",1,4,"205651.jpg","Arsenal","ARS",5,1,17,"Southampton","SOU",2,1350,"Southampton","Arsenal",975,1400,1000,1300,990
"7","3",2444823,12,NA,1,NA,36,FALSE,0,FALSE,"2025-05-11T15:30:00Z","36",FALSE,5,"Gabriel","dos Santos Magalhães","Gabriel",1,2,"226597.jpg","Arsenal","ARS",5,1,12,"Liverpool","LIV",5,1350,"Liverpool","Arsenal",1350,1400,1320,1300,1380
"8","3",2444830,1,NA,15,NA,37,FALSE,0,FALSE,"2025-05-18T15:30:00Z","37",TRUE,4,"Gabriel","dos Santos Magalhães","Gabriel",1,2,"226597.jpg","Arsenal","ARS",5,1,15,"Newcastle","NEW",4,1350,"Arsenal","Newcastle",1255,1390,1170,1310,1340
"9","3",2444847,17,NA,1,NA,38,FALSE,0,FALSE,"2025-05-25T15:00:00Z","38",FALSE,1,"Gabriel","dos Santos Magalhães","Gabriel",1,2,"226597.jpg","Arsenal","ARS",5,1,17,"Southampton","SOU",2,1350,"Southampton","Arsenal",975,1400,1000,1300,990
"10","4",2444823,12,NA,1,NA,36,FALSE,0,FALSE,"2025-05-11T15:30:00Z","36",FALSE,5,"Kai","Havertz","Havertz",1,4,"219847.jpg","Arsenal","ARS",5,1,12,"Liverpool","LIV",5,1350,"Liverpool","Arsenal",1350,1400,1320,1300,1380
"11","4",2444830,1,NA,15,NA,37,FALSE,0,FALSE,"2025-05-18T15:30:00Z","37",TRUE,4,"Kai","Havertz","Havertz",1,4,"219847.jpg","Arsenal","ARS",5,1,15,"Newcastle","NEW",4,1350,"Arsenal","Newcastle",1255,1390,1170,1310,1340
"12","4",2444847,17,NA,1,NA,38,FALSE,0,FALSE,"2025-05-25T15:00:00Z","38",FALSE,1,"Kai","Havertz","Havertz",1,4,"219847.jpg","Arsenal","ARS",5,1,17,"Southampton","SOU",2,1350,"Southampton","Arsenal",975,1400,1000,1300,990
"13","5",2444823,12,NA,1,NA,36,FALSE,0,FALSE,"2025-05-11T15:30:00Z","36",FALSE,5,"Karl","Hein","Hein",1,1,"463748.jpg","Arsenal","ARS",5,1,12,"Liverpool","LIV",5,1350,"Liverpool","Arsenal",1350,1400,1320,1300,1380
"14","5",2444830,1,NA,15,NA,37,FALSE,0,FALSE,"2025-05-18T15:30:00Z","37",TRUE,4,"Karl","Hein","Hein",1,1,"463748.jpg","Arsenal","ARS",5,1,15,"Newcastle","NEW",4,1350,"Arsenal","Newcastle",1255,1390,1170,1310,1340
"15","5",2444847,17,NA,1,NA,38,FALSE,0,FALSE,"2025-05-25T15:00:00Z","38",FALSE,1,"Karl","Hein","Hein",1,1,"463748.jpg","Arsenal","ARS",5,1,17,"Southampton","SOU",2,1350,"Southampton","Arsenal",975,1400,1000,1300,990
"16","6",2444823,12,NA,1,NA,36,FALSE,0,FALSE,"2025-05-11T15:30:00Z","36",FALSE,5,"Jurriën","Timber","J.Timber",1,2,"445122.jpg","Arsenal","ARS",5,1,12,"Liverpool","LIV",5,1350,"Liverpool","Arsenal",1350,1400,1320,1300,1380
"17","6",2444830,1,NA,15,NA,37,FALSE,0,FALSE,"2025-05-18T15:30:00Z","37",TRUE,4,"Jurriën","Timber","J.Timber",1,2,"445122.jpg","Arsenal","ARS",5,1,15,"Newcastle","NEW",4,1350,"Arsenal","Newcastle",1255,1390,1170,1310,1340
"18","6",2444847,17,NA,1,NA,38,FALSE,0,FALSE,"2025-05-25T15:00:00Z","38",FALSE,1,"Jurriën","Timber","J.Timber",1,2,"445122.jpg","Arsenal","ARS",5,1,17,"Southampton","SOU",2,1350,"Southampton","Arsenal",975,1400,1000,1300,990
"19","7",2444823,12,NA,1,NA,36,FALSE,0,FALSE,"2025-05-11T15:30:00Z","36",FALSE,5,"Jorge Luiz","Frello Filho","Jorginho",1,3,"85955.jpg","Arsenal","ARS",5,1,12,"Liverpool","LIV",5,1350,"Liverpool","Arsenal",1350,1400,1320,1300,1380
"20","7",2444830,1,NA,15,NA,37,FALSE,0,FALSE,"2025-05-18T15:30:00Z","37",TRUE,4,"Jorge Luiz","Frello Filho","Jorginho",1,3,"85955.jpg","Arsenal","ARS",5,1,15,"Newcastle","NEW",4,1350,"Arsenal","Newcastle",1255,1390,1170,1310,1340
"21","7",2444847,17,NA,1,NA,38,FALSE,0,FALSE,"2025-05-25T15:00:00Z","38",FALSE,1,"Jorge Luiz","Frello Filho","Jorginho",1,3,"85955.jpg","Arsenal","ARS",5,1,17,"Southampton","SOU",2,1350,"Southampton","Arsenal",975,1400,1000,1300,990
"22","8",2444823,12,NA,1,NA,36,FALSE,0,FALSE,"2025-05-11T15:30:00Z","36",FALSE,5,"Jakub","Kiwior","Kiwior",1,2,"440854.jpg","Arsenal","ARS",5,1,12,"Liverpool","LIV",5,1350,"Liverpool","Arsenal",1350,1400,1320,1300,1380
"23","8",2444830,1,NA,15,NA,37,FALSE,0,FALSE,"2025-05-18T15:30:00Z","37",TRUE,4,"Jakub","Kiwior","Kiwior",1,2,"440854.jpg","Arsenal","ARS",5,1,15,"Newcastle","NEW",4,1350,"Arsenal","Newcastle",1255,1390,1170,1310,1340
"24","8",2444847,17,NA,1,NA,38,FALSE,0,FALSE,"2025-05-25T15:00:00Z","38",FALSE,1,"Jakub","Kiwior","Kiwior",1,2,"440854.jpg","Arsenal","ARS",5,1,17,"Southampton","SOU",2,1350,"Southampton","Arsenal",975,1400,1000,1300,990
"25","9",2444823,12,NA,1,NA,36,FALSE,0,FALSE,"2025-05-11T15:30:00Z","36",FALSE,5,"Gabriel","Martinelli Silva","Martinelli",1,3,"444145.jpg","Arsenal","ARS",5,1,12,"Liverpool","LIV",5,1350,"Liverpool","Arsenal",1350,1400,1320,1300,1380
"26","9",2444830,1,NA,15,NA,37,FALSE,0,FALSE,"2025-05-18T15:30:00Z","37",TRUE,4,"Gabriel","Martinelli Silva","Martinelli",1,3,"444145.jpg","Arsenal","ARS",5,1,15,"Newcastle","NEW",4,1350,"Arsenal","Newcastle",1255,1390,1170,1310,1340
"27","9",2444847,17,NA,1,NA,38,FALSE,0,FALSE,"2025-05-25T15:00:00Z","38",FALSE,1,"Gabriel","Martinelli Silva","Martinelli",1,3,"444145.jpg","Arsenal","ARS",5,1,17,"Southampton","SOU",2,1350,"Southampton","Arsenal",975,1400,1000,1300,990
"28","12",2444823,12,NA,1,NA,36,FALSE,0,FALSE,"2025-05-11T15:30:00Z","36",FALSE,5,"Ethan","Nwaneri","Nwaneri",1,3,"499175.jpg","Arsenal","ARS",5,1,12,"Liverpool","LIV",5,1350,"Liverpool","Arsenal",1350,1400,1320,1300,1380
"29","12",2444830,1,NA,15,NA,37,FALSE,0,FALSE,"2025-05-18T15:30:00Z","37",TRUE,4,"Ethan","Nwaneri","Nwaneri",1,3,"499175.jpg","Arsenal","ARS",5,1,15,"Newcastle","NEW",4,1350,"Arsenal","Newcastle",1255,1390,1170,1310,1340
"30","12",2444847,17,NA,1,NA,38,FALSE,0,FALSE,"2025-05-25T15:00:00Z","38",FALSE,1,"Ethan","Nwaneri","Nwaneri",1,3,"499175.jpg","Arsenal","ARS",5,1,17,"Southampton","SOU",2,1350,"Southampton","Arsenal",975,1400,1000,1300,990
"31","13",2444823,12,NA,1,NA,36,FALSE,0,FALSE,"2025-05-11T15:30:00Z","36",FALSE,5,"Martin","Ødegaard","Ødegaard",1,3,"184029.jpg","Arsenal","ARS",5,1,12,"Liverpool","LIV",5,1350,"Liverpool","Arsenal",1350,1400,1320,1300,1380
"32","13",2444830,1,NA,15,NA,37,FALSE,0,FALSE,"2025-05-18T15:30:00Z","37",TRUE,4,"Martin","Ødegaard","Ødegaard",1,3,"184029.jpg","Arsenal","ARS",5,1,15,"Newcastle","NEW",4,1350,"Arsenal","Newcastle",1255,1390,1170,1310,1340
"33","13",2444847,17,NA,1,NA,38,FALSE,0,FALSE,"2025-05-25T15:00:00Z","38",FALSE,1,"Martin","Ødegaard","Ødegaard",1,3,"184029.jpg","Arsenal","ARS",5,1,17,"Southampton","SOU",2,1350,"Southampton","Arsenal",975,1400,1000,1300,990
"34","15",2444823,12,NA,1,NA,36,FALSE,0,FALSE,"2025-05-11T15:30:00Z","36",FALSE,5,"David","Raya Martin","Raya",1,1,"154561.jpg","Arsenal","ARS",5,1,12,"Liverpool","LIV",5,1350,"Liverpool","Arsenal",1350,1400,1320,1300,1380
"35","15",2444830,1,NA,15,NA,37,FALSE,0,FALSE,"2025-05-18T15:30:00Z","37",TRUE,4,"David","Raya Martin","Raya",1,1,"154561.jpg","Arsenal","ARS",5,1,15,"Newcastle","NEW",4,1350,"Arsenal","Newcastle",1255,1390,1170,1310,1340
"36","15",2444847,17,NA,1,NA,38,FALSE,0,FALSE,"2025-05-25T15:00:00Z","38",FALSE,1,"David","Raya Martin","Raya",1,1,"154561.jpg","Arsenal","ARS",5,1,17,"Southampton","SOU",2,1350,"Southampton","Arsenal",975,1400,1000,1300,990
"37","16",2444823,12,NA,1,NA,36,FALSE,0,FALSE,"2025-05-11T15:30:00Z","36",FALSE,5,"Declan","Rice","Rice",1,3,"204480.jpg","Arsenal","ARS",5,1,12,"Liverpool","LIV",5,1350,"Liverpool","Arsenal",1350,1400,1320,1300,1380
"38","16",2444830,1,NA,15,NA,37,FALSE,0,FALSE,"2025-05-18T15:30:00Z","37",TRUE,4,"Declan","Rice","Rice",1,3,"204480.jpg","Arsenal","ARS",5,1,15,"Newcastle","NEW",4,1350,"Arsenal","Newcastle",1255,1390,1170,1310,1340
"39","16",2444847,17,NA,1,NA,38,FALSE,0,FALSE,"2025-05-25T15:00:00Z","38",FALSE,1,"Declan","Rice","Rice",1,3,"204480.jpg","Arsenal","ARS",5,1,17,"Southampton","SOU",2,1350,"Southampton","Arsenal",975,1400,1000,1300,990
"40","17",2444823,12,NA,1,NA,36,FALSE,0,FALSE,"2025-05-11T15:30:00Z","36",FALSE,5,"Bukayo","Saka","Saka",1,3,"223340.jpg","Arsenal","ARS",5,1,12,"Liverpool","LIV",5,1350,"Liverpool","Arsenal",1350,1400,1320,1300,1380
"41","17",2444830,1,NA,15,NA,37,FALSE,0,FALSE,"2025-05-18T15:30:00Z","37",TRUE,4,"Bukayo","Saka","Saka",1,3,"223340.jpg","Arsenal","ARS",5,1,15,"Newcastle","NEW",4,1350,"Arsenal","Newcastle",1255,1390,1170,1310,1340
"42","17",2444847,17,NA,1,NA,38,FALSE,0,FALSE,"2025-05-25T15:00:00Z","38",FALSE,1,"Bukayo","Saka","Saka",1,3,"223340.jpg","Arsenal","ARS",5,1,17,"Southampton","SOU",2,1350,"Southampton","Arsenal",975,1400,1000,1300,990
"43","18",2444823,12,NA,1,NA,36,FALSE,0,FALSE,"2025-05-11T15:30:00Z","36",FALSE,5,"William","Saliba","Saliba",1,2,"462424.jpg","Arsenal","ARS",5,1,12,"Liverpool","LIV",5,1350,"Liverpool","Arsenal",1350,1400,1320,1300,1380
"44","18",2444830,1,NA,15,NA,37,FALSE,0,FALSE,"2025-05-18T15:30:00Z","37",TRUE,4,"William","Saliba","Saliba",1,2,"462424.jpg","Arsenal","ARS",5,1,15,"Newcastle","NEW",4,1350,"Arsenal","Newcastle",1255,1390,1170,1310,1340
"45","18",2444847,17,NA,1,NA,38,FALSE,0,FALSE,"2025-05-25T15:00:00Z","38",FALSE,1,"William","Saliba","Saliba",1,2,"462424.jpg","Arsenal","ARS",5,1,17,"Southampton","SOU",2,1350,"Southampton","Arsenal",975,1400,1000,1300,990
"46","20",2444823,12,NA,1,NA,36,FALSE,0,FALSE,"2025-05-11T15:30:00Z","36",FALSE,5,"Thomas","Partey","Thomas",1,3,"167199.jpg","Arsenal","ARS",5,1,12,"Liverpool","LIV",5,1350,"Liverpool","Arsenal",1350,1400,1320,1300,1380
