"","id","first_name","second_name","web_name","team","element_type","photo","team_name","short_team_name","strength","strength_overall_home","strength_overall_away","strength_attack_home","strength_attack_away","strength_defence_home","strength_defence_away"
"1",1,"Fábio","Ferreira Vieira","Fábio Vieira",1,3,"438098.jpg","Arsenal","ARS",5,1350,1350,1390,1400,1310,1300
"2",2,"Gabriel","Fernando de Jesus","G.Jesus",1,4,"205651.jpg","Arsenal","ARS",5,1350,1350,1390,1400,1310,1300
"3",3,"Gabriel","dos Santos Magalhães","Gabriel",1,2,"226597.jpg","Arsenal","ARS",5,1350,1350,1390,1400,1310,1300
"4",4,"Kai","Havertz","Havertz",1,4,"219847.jpg","Arsenal","ARS",5,1350,1350,1390,1400,1310,1300
"5",5,"Karl","Hein","Hein",1,1,"463748.jpg","Arsenal","ARS",5,1350,1350,1390,1400,1310,1300
"6",6,"Jurriën","Timber","J.Timber",1,2,"445122.jpg","Arsenal","ARS",5,1350,1350,1390,1400,1310,1300
"7",7,"Jorge Luiz","Frello Filho","Jorginho",1,3,"85955.jpg","Arsenal","ARS",5,1350,1350,1390,1400,1310,1300
"8",8,"Jakub","Kiwior","Kiwior",1,2,"440854.jpg","Arsenal","ARS",5,1350,1350,1390,1400,1310,1300
"9",9,"Gabriel","Martinelli Silva","Martinelli",1,3,"444145.jpg","Arsenal","ARS",5,1350,1350,1390,1400,1310,1300
"10",12,"Ethan","Nwaneri","Nwaneri",1,3,"499175.jpg","Arsenal","ARS",5,1350,1350,1390,1400,1310,1300
"11",13,"Martin","Ødegaard","Ødegaard",1,3,"184029.jpg","Arsenal","ARS",5,1350,1350,1390,1400,1310,1300
"12",15,"David","Raya Martin","Raya",1,1,"154561.jpg","Arsenal","ARS",5,1350,1350,1390,1400,1310,1300
"13",16,"Declan","Rice","Rice",1,3,"204480.jpg","Arsenal","ARS",5,1350,1350,1390,1400,1310,1300
"14",17,"Bukayo","Saka","Saka",1,3,"223340.jpg","Arsenal","ARS",5,1350,1350,1390,1400,1310,1300
"15",18,"William","Saliba","Saliba",1,2,"462424.jpg","Arsenal","ARS",5,1350,1350,1390,1400,1310,1300
"16",20,"Thomas","Partey","Thomas",1,3,"167199.jpg","Arsenal","ARS",5,1350,1350,1390,1400,1310,1300
"17",21,"Kieran","Tierney","Tierney",1,2,"192895.jpg","Arsenal","ARS",5,1350,1350,1390,1400,1310,1300
"18",22,"Tomiyasu","Takehiro","Tomiyasu",1,2,"223723.jpg","Arsenal","ARS",5,1350,1350,1390,1400,1310,1300
