"","name_club","round","total_points","opp_team","id","games","GW_Type"
"1","A. Garcia (AVL)",1,NA,NA,731,NA,"BGW"
"2","A. Garcia (AVL)",2,NA,NA,731,NA,"BGW"
"3","A. Garcia (AVL)",3,NA,NA,731,NA,"BGW"
"4","A. Garcia (AVL)",4,NA,NA,731,NA,"BGW"
"5","A. Garcia (AVL)",5,NA,NA,731,NA,"BGW"
"6","A. Garcia (AVL)",6,NA,NA,731,NA,"BGW"
"7","A. Garcia (AVL)",7,NA,NA,731,NA,"BGW"
"8","A. Garcia (AVL)",8,NA,NA,731,NA,"BGW"
"9","A. Garcia (AVL)",9,NA,NA,731,NA,"BGW"
"10","A. Garcia (AVL)",10,NA,NA,731,NA,"BGW"
"11","A. Garcia (AVL)",11,NA,NA,731,NA,"BGW"
"12","A. Garcia (AVL)",12,NA,NA,731,NA,"BGW"
"13","A. Garcia (AVL)",13,NA,NA,731,NA,"BGW"
"14","A. Garcia (AVL)",14,NA,NA,731,NA,"BGW"
"15","A. Garcia (AVL)",15,NA,NA,731,NA,"BGW"
"16","A. Garcia (AVL)",16,NA,NA,731,NA,"BGW"
"17","A. Garcia (AVL)",17,NA,NA,731,NA,"BGW"
"18","A. Garcia (AVL)",18,NA,NA,731,NA,"BGW"
"19","A. Garcia (AVL)",19,NA,NA,731,NA,"BGW"
"20","A. Garcia (AVL)",20,NA,NA,731,NA,"BGW"
"21","A. Garcia (AVL)",21,NA,NA,731,NA,"BGW"
"22","A. Garcia (AVL)",22,NA,NA,731,NA,"BGW"
"23","A. Garcia (AVL)",23,0,"WHU",731,1,"SGW"
"24","A. Garcia (AVL)",24,1,"WOL",731,1,"SGW"
"25","A. Garcia (AVL)",25,3,"IPS,LIV",731,2,"DGW"
"26","A. Garcia (AVL)",26,1,"CHE",731,1,"SGW"
"27","A. Garcia (AVL)",27,1,"CRY",731,1,"SGW"
"28","A. Garcia (AVL)",28,0,"BRE",731,1,"SGW"
"29","A. Garcia (AVL)",29,NA,NA,731,NA,"BGW"
"30","A. Garcia (AVL)",30,0,"BHA",731,1,"SGW"
"31","A. Garcia (AVL)",31,1,"NFO",731,1,"SGW"
"32","A. Garcia (AVL)",32,1,"SOU",731,1,"SGW"
"33","A. Garcia (AVL)",33,0,"NEW,MCI",731,2,"DGW"
"34","A. Garcia (AVL)",34,NA,NA,731,NA,"BGW"
"35","A. Garcia (AVL)",35,0,"FUL",731,1,"SGW"
"36","A. Garcia (AVL)",36,0,"BOU",731,1,"SGW"
"37","A. Garcia (AVL)",37,0,"TOT",731,1,"SGW"
"38","A. Garcia (AVL)",38,0,"MUN",731,1,"SGW"
"39","A.Becker (LIV)",1,7,"IPS",310,1,"SGW"
"40","A.Becker (LIV)",2,6,"BRE",310,1,"SGW"
"41","A.Becker (LIV)",3,8,"MUN",310,1,"SGW"
"42","A.Becker (LIV)",4,2,"NFO",310,1,"SGW"
"43","A.Becker (LIV)",5,0,"BOU",310,1,"SGW"
"44","A.Becker (LIV)",6,2,"WOL",310,1,"SGW"
"45","A.Becker (LIV)",7,10,"CRY",310,1,"SGW"
"46","A.Becker (LIV)",8,0,"CHE",310,1,"SGW"
"47","A.Becker (LIV)",9,0,"ARS",310,1,"SGW"
"48","A.Becker (LIV)",10,0,"BHA",310,1,"SGW"
"49","A.Becker (LIV)",11,0,"AVL",310,1,"SGW"
"50","A.Becker (LIV)",12,0,"SOU",310,1,"SGW"
"51","A.Becker (LIV)",13,0,"MCI",310,1,"SGW"
"52","A.Becker (LIV)",14,0,"NEW",310,1,"SGW"
"53","A.Becker (LIV)",15,NA,NA,310,NA,"BGW"
"54","A.Becker (LIV)",16,1,"FUL",310,1,"SGW"
"55","A.Becker (LIV)",17,1,"TOT",310,1,"SGW"
"56","A.Becker (LIV)",18,2,"LEI",310,1,"SGW"
"57","A.Becker (LIV)",19,6,"WHU",310,1,"SGW"
"58","A.Becker (LIV)",20,1,"MUN",310,1,"SGW"
"59","A.Becker (LIV)",21,2,"NFO",310,1,"SGW"
"60","A.Becker (LIV)",22,9,"BRE",310,1,"SGW"
"61","A.Becker (LIV)",23,2,"IPS",310,1,"SGW"
"62","A.Becker (LIV)",24,10,"BOU,EVE",310,2,"DGW"
"63","A.Becker (LIV)",25,4,"WOL,AVL",310,2,"DGW"
"64","A.Becker (LIV)",26,8,"MCI",310,1,"SGW"
"65","A.Becker (LIV)",27,6,"NEW",310,1,"SGW"
"66","A.Becker (LIV)",28,3,"SOU",310,1,"SGW"
"67","A.Becker (LIV)",29,NA,NA,310,NA,"BGW"
"68","A.Becker (LIV)",30,0,"EVE",310,1,"SGW"
"69","A.Becker (LIV)",31,0,"FUL",310,1,"SGW"
"70","A.Becker (LIV)",32,3,"WHU",310,1,"SGW"
"71","A.Becker (LIV)",33,6,"LEI",310,1,"SGW"
"72","A.Becker (LIV)",34,2,"TOT",310,1,"SGW"
"73","A.Becker (LIV)",35,2,"CHE",310,1,"SGW"
"74","A.Becker (LIV)",36,2,"ARS",310,1,"SGW"
"75","A.Becker (LIV)",37,4,"BHA",310,1,"SGW"
"76","A.Becker (LIV)",38,3,"CRY",310,1,"SGW"
"77","A.Doucoure (EVE)",1,2,"BHA",217,1,"SGW"
"78","A.Doucoure (EVE)",2,1,"TOT",217,1,"SGW"
"79","A.Doucoure (EVE)",3,1,"BOU",217,1,"SGW"
"80","A.Doucoure (EVE)",4,0,"AVL",217,1,"SGW"
"81","A.Doucoure (EVE)",5,2,"LEI",217,1,"SGW"
"82","A.Doucoure (EVE)",6,2,"CRY",217,1,"SGW"
"83","A.Doucoure (EVE)",7,3,"NEW",217,1,"SGW"
"84","A.Doucoure (EVE)",8,3,"IPS",217,1,"SGW"
"85","A.Doucoure (EVE)",9,2,"FUL",217,1,"SGW"
"86","A.Doucoure (EVE)",10,0,"SOU",217,1,"SGW"
"87","A.Doucoure (EVE)",11,3,"WHU",217,1,"SGW"
"88","A.Doucoure (EVE)",12,3,"BRE",217,1,"SGW"
"89","A.Doucoure (EVE)",13,2,"MUN",217,1,"SGW"
"90","A.Doucoure (EVE)",14,3,"WOL",217,1,"SGW"
"91","A.Doucoure (EVE)",15,NA,NA,217,NA,"BGW"
"92","A.Doucoure (EVE)",16,3,"ARS",217,1,"SGW"
"93","A.Doucoure (EVE)",17,3,"CHE",217,1,"SGW"
"94","A.Doucoure (EVE)",18,2,"MCI",217,1,"SGW"
"95","A.Doucoure (EVE)",19,2,"NFO",217,1,"SGW"
"96","A.Doucoure (EVE)",20,1,"BOU",217,1,"SGW"
"97","A.Doucoure (EVE)",21,2,"AVL",217,1,"SGW"
"98","A.Doucoure (EVE)",22,1,"TOT",217,1,"SGW"
"99","A.Doucoure (EVE)",23,3,"BHA",217,1,"SGW"
"100","A.Doucoure (EVE)",24,7,"LEI,LIV",217,2,"DGW"
"101","A.Doucoure (EVE)",25,0,"CRY",217,1,"SGW"
"102","A.Doucoure (EVE)",26,12,"MUN",217,1,"SGW"
