"name_club","round","total_points","opp_team","id","games","GW_Type"
"A.Becker (LIV)",1,1,"BOU",366,1,"SGW"
"A.Becker (LIV)",2,1,"NEW",366,1,"SGW"
"A.Becker (LIV)",3,8,"ARS",366,1,"SGW"
"A.Becker (LIV)",4,6,"BUR",366,1,"SGW"
"A.Becker (LIV)",5,2,"EVE",366,1,"SGW"
"A.Becker (LIV)",6,2,"CRY",366,1,"SGW"
"A.Becker (LIV)",7,0,"CHE",366,1,"SGW"
"A.Becker (LIV)",8,0,"MUN",366,1,"SGW"
"A.Becker (LIV)",9,0,"BRE",366,1,"SGW"
"A.Becker (LIV)",10,0,"AVL",366,1,"SGW"
"A.García (AVL)",1,0,"NEW",42,1,"SGW"
"A.García (AVL)",2,0,"BRE",42,1,"SGW"
"A.García (AVL)",3,0,"CRY",42,1,"SGW"
"A.García (AVL)",4,0,"EVE",42,1,"SGW"
"A.García (AVL)",5,0,"SUN",42,1,"SGW"
"A.García (AVL)",6,0,"FUL",42,1,"SGW"
"A.García (AVL)",7,0,"BUR",42,1,"SGW"
"A.García (AVL)",8,0,"TOT",42,1,"SGW"
"A.García (AVL)",9,0,"MCI",42,1,"SGW"
"A.García (AVL)",10,0,"LIV",42,1,"SGW"
"A.Jimenez (BOU)",1,NA,NA,713,NA,"BGW"
"A.Jimenez (BOU)",2,NA,NA,713,NA,"BGW"
"A.Jimenez (BOU)",3,NA,NA,713,NA,"BGW"
"A.Jimenez (BOU)",4,0,"BHA",713,1,"SGW"
"A.Jimenez (BOU)",5,0,"NEW",713,1,"SGW"
"A.Jimenez (BOU)",6,0,"LEE",713,1,"SGW"
"A.Jimenez (BOU)",7,1,"FUL",713,1,"SGW"
"A.Jimenez (BOU)",8,1,"CRY",713,1,"SGW"
"A.Jimenez (BOU)",9,6,"NFO",713,1,"SGW"
"A.Jimenez (BOU)",10,1,"MCI",713,1,"SGW"
"A.Murphy (NEW)",1,0,"AVL",481,1,"SGW"
"A.Murphy (NEW)",2,0,"LIV",481,1,"SGW"
"A.Murphy (NEW)",3,0,"LEE",481,1,"SGW"
"A.Murphy (NEW)",4,0,"WOL",481,1,"SGW"
"A.Murphy (NEW)",5,0,"BOU",481,1,"SGW"
"A.Murphy (NEW)",6,0,"ARS",481,1,"SGW"
"A.Murphy (NEW)",7,0,"NFO",481,1,"SGW"
"A.Murphy (NEW)",8,0,"BHA",481,1,"SGW"
"A.Murphy (NEW)",9,0,"FUL",481,1,"SGW"
"A.Murphy (NEW)",10,0,"WHU",481,1,"SGW"
"A.Ramsey (BUR)",1,0,"TOT",211,1,"SGW"
"A.Ramsey (BUR)",2,0,"SUN",211,1,"SGW"
"A.Ramsey (BUR)",3,0,"MUN",211,1,"SGW"
"A.Ramsey (BUR)",4,0,"LIV",211,1,"SGW"
"A.Ramsey (BUR)",5,0,"NFO",211,1,"SGW"
"A.Ramsey (BUR)",6,0,"MCI",211,1,"SGW"
"A.Ramsey (BUR)",7,0,"AVL",211,1,"SGW"
"A.Ramsey (BUR)",8,0,"LEE",211,1,"SGW"
"A.Ramsey (BUR)",9,0,"WOL",211,1,"SGW"
"A.Ramsey (BUR)",10,0,"ARS",211,1,"SGW"
"Aaronson (LEE)",1,1,"EVE",350,1,"SGW"
"Aaronson (LEE)",2,1,"ARS",350,1,"SGW"
"Aaronson (LEE)",3,1,"NEW",350,1,"SGW"
"Aaronson (LEE)",4,5,"FUL",350,1,"SGW"
"Aaronson (LEE)",5,2,"WOL",350,1,"SGW"
"Aaronson (LEE)",6,4,"BOU",350,1,"SGW"
"Aaronson (LEE)",7,5,"TOT",350,1,"SGW"
"Aaronson (LEE)",8,2,"BUR",350,1,"SGW"
"Aaronson (LEE)",9,11,"WHU",350,1,"SGW"
"Aaronson (LEE)",10,2,"BHA",350,1,"SGW"
"Abbott (NFO)",1,0,"BRE",513,1,"SGW"
"Abbott (NFO)",2,0,"CRY",513,1,"SGW"
"Abbott (NFO)",3,0,"WHU",513,1,"SGW"
"Abbott (NFO)",4,0,"ARS",513,1,"SGW"
"Abbott (NFO)",5,0,"BUR",513,1,"SGW"
"Abbott (NFO)",6,0,"SUN",513,1,"SGW"
"Abbott (NFO)",7,0,"NEW",513,1,"SGW"
"Abbott (NFO)",8,0,"CHE",513,1,"SGW"
"Abbott (NFO)",9,0,"BOU",513,1,"SGW"
"Abbott (NFO)",10,0,"MUN",513,1,"SGW"
"Abdullahi (SUN)",1,0,"WHU",562,1,"SGW"
"Abdullahi (SUN)",2,0,"BUR",562,1,"SGW"
"Abdullahi (SUN)",3,0,"BRE",562,1,"SGW"
"Abdullahi (SUN)",4,0,"CRY",562,1,"SGW"
"Abdullahi (SUN)",5,0,"AVL",562,1,"SGW"
