"total_points","was_home","kickoff_time","round","modified","minutes","goals_scored","assists","clean_sheets","goals_conceded","own_goals","penalties_saved","penalties_missed","yellow_cards","red_cards","saves","bonus","bps","influence","creativity","threat","ict_index","clearances_blocks_interceptions","recoveries","tackles","defensive_contribution","starts","expected_goals","expected_assists","expected_goal_involvements","expected_goals_conceded","value","transfers_balance","selected","transfers_in","transfers_out","id","first_name","second_name","web_name","photo","short_team_name","strength","total_xg_conceded","opp_team_name","opp_short_team_name","opp_strength","team_strength","opp_team_strength","team_strength_att","opp_team_strength_att","team_strength_def","opp_team_strength_def","Position","Goals","Opp_Goals","name_club","full_name","cs_mean","recent_starts","points_mean","bps_mean","xg_mean","xa_mean","xgi_mean","xg_against","goals_mean","oppgoals_mean","threat_mean","creativity_mean","influence_mean","ict_mean","team_xg","team_xg_mean"
10,FALSE,"2025-08-17T15:30:00Z",1,FALSE,90,0,0,1,0,0,0,0,1,0,7,3,38,49.2,0,0,4.9,1,13,0,0,1,0,0,0,1.52,55,0,1531911,0,0,1,"David","Raya Martín","Raya","154561.jpg","ARS",4,"1.52","Man Utd","MUN",3,1325,1105,1350,1110,1300,1100,"GK",1,0,"Raya (ARS)","David Raya Martín",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.55,NA
6,TRUE,"2025-08-23T16:30:00Z",2,FALSE,90,0,0,1,0,0,0,0,0,0,1,0,28,13.4,0,0,1.3,0,3,0,0,1,0,0,0,0.17,55,218659,2284634,277339,58680,1,"David","Raya Martín","Raya","154561.jpg","ARS",4,"0.17","Leeds","LEE",2,1320,1075,1350,1050,1290,1100,"GK",5,0,"Raya (ARS)","David Raya Martín",1,90,10,38,0,0,0,1.52,1,0,0,0,49.2,4.9,2.87,1.55
2,FALSE,"2025-08-31T15:30:00Z",3,FALSE,90,0,0,0,1,0,0,0,0,0,2,0,12,20,10,0,3,0,12,0,0,1,0,0.02,0.02,0.52,55,-12311,2406964,146739,159050,1,"David","Raya Martín","Raya","154561.jpg","ARS",4,"0.52","Liverpool","LIV",5,1325,1335,1350,1290,1300,1380,"GK",0,1,"Raya (ARS)","David Raya Martín",1,90,8,33,0,0,0,0.845,3,0,0,0,31.3,3.1,0.49,2.21
6,TRUE,"2025-09-13T11:30:00Z",4,FALSE,90,0,0,1,0,0,0,0,0,0,1,0,24,12.8,0,0,1.3,0,9,0,0,1,0,0,0,0.2,55,171289,2765759,289041,117752,1,"David","Raya Martín","Raya","154561.jpg","ARS",4,"0.20","Nott'm Forest","NFO",3,1320,1205,1350,1230,1290,1180,"GK",3,0,"Raya (ARS)","David Raya Martín",0.666666666666667,90,6,26,0,0.00666666666666667,0.00666666666666667,0.736666666666667,2,0.333333333333333,0,3.33333333333333,27.5333333333333,3.06666666666667,1.84,1.63666666666667
2,TRUE,"2025-09-21T15:30:00Z",5,FALSE,90,0,0,0,1,0,0,0,0,0,2,0,13,21.4,0,0,2.1,1,6,0,0,1,0,0.01,0.01,0.89,55,-9786,2762632,98100,107886,1,"David","Raya Martín","Raya","154561.jpg","ARS",4,"0.89","Man City","MCI",4,1320,1315,1350,1250,1290,1380,"GK",1,1,"Raya (ARS)","David Raya Martín",0.75,90,6,25.5,0,0.005,0.005,0.6025,2.25,0.25,0,2.5,23.85,2.625,0.95,1.6875
2,FALSE,"2025-09-28T15:30:00Z",6,FALSE,90,0,0,0,1,0,0,0,0,0,2,0,11,15.8,0,0,1.6,2,10,0,0,1,0,0.01,0.01,0.61,56,227251,3029654,357846,130595,1,"David","Raya Martín","Raya","154561.jpg","ARS",4,"0.61","Newcastle","NEW",4,1325,1185,1350,1130,1300,1240,"GK",2,1,"Raya (ARS)","David Raya Martín",0.6,90,5.2,23,0,0.006,0.006,0.66,2,0.4,0,2,23.36,2.52,2.04,1.54
6,TRUE,"2025-10-04T14:00:00Z",7,FALSE,90,0,0,1,0,0,0,0,0,0,0,0,20,3.2,0,0,0.3,0,8,0,0,1,0,0,0,0.49,56,212315,3297838,287510,75195,1,"David","Raya Martín","Raya","154561.jpg","ARS",4,"0.49","West Ham","WHU",3,1320,1100,1350,1100,1290,1100,"GK",2,0,"Raya (ARS)","David Raya Martín",0.4,90,3.6,17.6,0,0.008,0.008,0.478,2.2,0.6,0,2,16.68,1.86,2.91,1.638
6,FALSE,"2025-10-18T16:30:00Z",8,FALSE,90,0,0,1,0,0,0,0,0,0,0,0,21,4.6,0,0,0.5,2,7,0,0,1,0,0,0,0.44,57,120482,3447590,208192,87710,1,"David","Raya Martín","Raya","154561.jpg","ARS",4,"0.44","Fulham","FUL",3,1325,1125,1350,1130,1300,1120,"GK",1,0,"Raya (ARS)","David Raya Martín",0.4,90,3.6,16,0,0.008,0.008,0.542,1.6,0.6,0,2,14.64,1.66,1.91,1.646
6,TRUE,"2025-10-26T14:00:00Z",9,FALSE,90,0,0,1,0,0,0,0,0,0,1,0,25,0,0,0,0,2,10,0,0,1,0,0,0,0.47,57,81905,3546345,131150,49245,1,"David","Raya Martín","Raya","154561.jpg","ARS",4,"0.47","Crystal Palace","CRY",3,1320,1160,1350,1130,1290,1190,"GK",1,0,"Raya (ARS)","David Raya Martín",0.6,90,4.4,17.8,0,0.004,0.004,0.526,1.8,0.4,0,0,11.56,1.16,1.15,1.93
0,FALSE,"2025-08-17T15:30:00Z",1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,90618,0,0,2,"Kepa","Arrizabalaga Revuelta","Arrizabalaga","109745.jpg","ARS",4,"1.52","Man Utd","MUN",3,1325,1105,1350,1110,1300,1100,"GK",1,0,"Arrizabalaga (ARS)","Kepa Arrizabalaga Revuelta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.55,1.792
0,TRUE,"2025-08-23T16:30:00Z",2,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-9834,89793,2130,11964,2,"Kepa","Arrizabalaga Revuelta","Arrizabalaga","109745.jpg","ARS",4,"0.17","Leeds","LEE",2,1320,1075,1350,1050,1290,1100,"GK",5,0,"Arrizabalaga (ARS)","Kepa Arrizabalaga Revuelta",0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.87,1.912
0,FALSE,"2025-08-31T15:30:00Z",3,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,-11575,81016,1131,12706,2,"Kepa","Arrizabalaga Revuelta","Arrizabalaga","109745.jpg","ARS",4,"0.52","Liverpool","LIV",5,1325,1335,1350,1290,1300,1380,"GK",0,1,"Arrizabalaga (ARS)","Kepa Arrizabalaga Revuelta",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0.49,2.078
0,TRUE,"2025-09-13T11:30:00Z",4,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,-6913,76258,1271,8184,2,"Kepa","Arrizabalaga Revuelta","Arrizabalaga","109745.jpg","ARS",4,"0.20","Nott'm Forest","NFO",3,1320,1205,1350,1230,1290,1180,"GK",3,0,"Arrizabalaga (ARS)","Kepa Arrizabalaga Revuelta",0,0,0,0,0,0,0,0,2,0.333333333333333,0,0,0,0,1.84,1.594
0,TRUE,"2025-09-21T15:30:00Z",5,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,-5570,71572,689,6259,2,"Kepa","Arrizabalaga Revuelta","Arrizabalaga","109745.jpg","ARS",4,"0.89","Man City","MCI",4,1320,1315,1350,1250,1290,1380,"GK",1,1,"Arrizabalaga (ARS)","Kepa Arrizabalaga Revuelta",0,0,0,0,0,0,0,0,2.25,0.25,0,0,0,0,0.95,1.58
0,FALSE,"2025-09-28T15:30:00Z",6,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,-4229,67990,713,4942,2,"Kepa","Arrizabalaga Revuelta","Arrizabalaga","109745.jpg","ARS",4,"0.61","Newcastle","NEW",4,1325,1185,1350,1130,1300,1240,"GK",2,1,"Arrizabalaga (ARS)","Kepa Arrizabalaga Revuelta",0,0,0,0,0,0,0,0,2,0.4,0,0,0,0,2.04,1.54
0,TRUE,"2025-10-04T14:00:00Z",7,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,-3442,64932,461,3903,2,"Kepa","Arrizabalaga Revuelta","Arrizabalaga","109745.jpg","ARS",4,"0.49","West Ham","WHU",3,1320,1100,1350,1100,1290,1100,"GK",2,0,"Arrizabalaga (ARS)","Kepa Arrizabalaga Revuelta",0,0,0,0,0,0,0,0,2.2,0.6,0,0,0,0,2.91,1.638
0,FALSE,"2025-10-18T16:30:00Z",8,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,-3767,61782,442,4209,2,"Kepa","Arrizabalaga Revuelta","Arrizabalaga","109745.jpg","ARS",4,"0.44","Fulham","FUL",3,1325,1125,1350,1130,1300,1120,"GK",1,0,"Arrizabalaga (ARS)","Kepa Arrizabalaga Revuelta",0,0,0,0,0,0,0,0,1.6,0.6,0,0,0,0,1.91,1.646
0,TRUE,"2025-10-26T14:00:00Z",9,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,-2402,59724,221,2623,2,"Kepa","Arrizabalaga Revuelta","Arrizabalaga","109745.jpg","ARS",4,"0.47","Crystal Palace","CRY",3,1320,1160,1350,1130,1290,1190,"GK",1,0,"Arrizabalaga (ARS)","Kepa Arrizabalaga Revuelta",0,0,0,0,0,0,0,0,1.8,0.4,0,0,0,0,1.15,1.93
0,FALSE,"2025-08-17T15:30:00Z",1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,55400,0,0,3,"Karl","Hein","Hein","463748.jpg","ARS",4,"1.52","Man Utd","MUN",3,1325,1105,1350,1110,1300,1100,"GK",1,0,"Hein (ARS)","Karl Hein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.55,1.792
0,TRUE,"2025-08-23T16:30:00Z",2,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,-1321,64836,3835,5156,3,"Karl","Hein","Hein","463748.jpg","ARS",4,"0.17","Leeds","LEE",2,1320,1075,1350,1050,1290,1100,"GK",5,0,"Hein (ARS)","Karl Hein",0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.87,1.912
0,FALSE,"2025-08-31T15:30:00Z",3,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,-8078,58537,1710,9788,3,"Karl","Hein","Hein","463748.jpg","ARS",4,"0.52","Liverpool","LIV",5,1325,1335,1350,1290,1300,1380,"GK",0,1,"Hein (ARS)","Karl Hein",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0.49,2.078
0,TRUE,"2025-09-13T11:30:00Z",4,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,-7317,51317,0,7317,3,"Karl","Hein","Hein","463748.jpg","ARS",4,"0.20","Nott'm Forest","NFO",3,1320,1205,1350,1230,1290,1180,"GK",3,0,"Hein (ARS)","Karl Hein",0,0,0,0,0,0,0,0,2,0.333333333333333,0,0,0,0,1.84,1.594
0,TRUE,"2025-09-21T15:30:00Z",5,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,-3824,47871,0,3824,3,"Karl","Hein","Hein","463748.jpg","ARS",4,"0.89","Man City","MCI",4,1320,1315,1350,1250,1290,1380,"GK",1,1,"Hein (ARS)","Karl Hein",0,0,0,0,0,0,0,0,2.25,0.25,0,0,0,0,0.95,1.58
0,FALSE,"2025-09-28T15:30:00Z",6,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,-3374,44510,0,3374,3,"Karl","Hein","Hein","463748.jpg","ARS",4,"0.61","Newcastle","NEW",4,1325,1185,1350,1130,1300,1240,"GK",2,1,"Hein (ARS)","Karl Hein",0,0,0,0,0,0,0,0,2,0.4,0,0,0,0,2.04,1.54
0,TRUE,"2025-10-04T14:00:00Z",7,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,-2897,41629,0,2897,3,"Karl","Hein","Hein","463748.jpg","ARS",4,"0.49","West Ham","WHU",3,1320,1100,1350,1100,1290,1100,"GK",2,0,"Hein (ARS)","Karl Hein",0,0,0,0,0,0,0,0,2.2,0.6,0,0,0,0,2.91,1.638
0,FALSE,"2025-10-18T16:30:00Z",8,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,-2704,39034,0,2704,3,"Karl","Hein","Hein","463748.jpg","ARS",4,"0.44","Fulham","FUL",3,1325,1125,1350,1130,1300,1120,"GK",1,0,"Hein (ARS)","Karl Hein",0,0,0,0,0,0,0,0,1.6,0.6,0,0,0,0,1.91,1.646
